Exiting
         839940 function calls (834012 primitive calls) in 9.131 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      223    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:471(_validate_timestamp_pyc)
        1    0.000    0.000    0.001    0.001 selectors.py:5(<module>)
      679    0.001    0.000    0.001    0.000 utils.py:60(inset_rect)
     3944    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
        1    0.001    0.001    0.001    0.001 request.py:1045(PolyFillArc)
      527    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:416(parent)
     1693    0.001    0.000    0.001    0.000 rq.py:260(__init__)
       30    0.000    0.000    0.001    0.000 getlimits.py:41(<lambda>)
      292    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:58(__init__)
        1    0.000    0.000    0.001    0.001 queue.py:1(<module>)
       21    0.000    0.000    0.001    0.000 XK.py:50(<listcomp>)
     1359    0.001    0.000    0.001    0.000 {built-in method time.time}
       38    0.000    0.000    0.001    0.000 typing.py:1202(_alias)
      280    0.000    0.000    0.001    0.000 function_base.py:443(_needs_add_docstring)
      354    0.000    0.000    0.001    0.000 rq.py:146(__init__)
        1    0.000    0.000    0.001    0.001 lzma.py:9(<module>)
        1    0.000    0.000    0.001    0.001 xorg_keysyms.py:21(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:14(<module>)
        1    0.000    0.000    0.001    0.001 opcode.py:5(<module>)
      827    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:859(__exit__)
      624    0.000    0.000    0.001    0.000 _inspect.py:13(ismethod)
        1    0.000    0.000    0.001    0.001 shape.py:4(<module>)
       44    0.000    0.000    0.001    0.000 core.py:132(get_object_signature)
        3    0.000    0.000    0.001    0.000 warnings.py:130(filterwarnings)
       13    0.000    0.000    0.001    0.000 enum.py:182(<setcomp>)
     1300    0.001    0.000    0.001    0.000 {built-in method _thread.allocate_lock}
      192    0.000    0.000    0.001    0.000 display.py:252(extension_add_method)
        1    0.000    0.000    0.001    0.001 TiffTags.py:20(<module>)
        1    0.000    0.000    0.001    0.001 _exceptions.py:7(<module>)
      223    0.001    0.000    0.001    0.000 {built-in method _imp._fix_co_filename}
        1    0.000    0.000    0.001    0.001 base64.py:3(<module>)
    22/21    0.000    0.000    0.000    0.000 typing.py:248(inner)
       69    0.000    0.000    0.000    0.000 sre_parse.py:96(closegroup)
      827    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:855(__enter__)
      366    0.000    0.000    0.000    0.000 typing.py:709(__setattr__)
        1    0.000    0.000    0.000    0.000 {destroyWindow}
       26    0.000    0.000    0.000    0.000 core.py:6747(__init__)
        1    0.000    0.000    0.000    0.000 record.py:22(<module>)
      430    0.000    0.000    0.000    0.000 {built-in method _struct.calcsize}
        5    0.000    0.000    0.000    0.000 textwrap.py:414(dedent)
       15    0.000    0.000    0.000    0.000 arrayprint.py:1500(_array_str_implementation)
       26    0.000    0.000    0.000    0.000 core.py:6752(getdoc)
        2    0.000    0.000    0.000    0.000 display.py:710(list_extensions)
      279    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:369(__init__)
        1    0.000    0.000    0.000    0.000 numbers.py:6(<module>)
       15    0.000    0.000    0.000    0.000 arrayprint.py:461(wrapper)
        1    0.000    0.000    0.000    0.000 einsumfunc.py:4(<module>)
        1    0.000    0.000    0.000    0.000 ImageDraw.py:33(<module>)
       23    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
      374    0.000    0.000    0.000    0.000 functools.py:67(wraps)
     1732    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        1    0.000    0.000    0.000    0.000 ufunclike.py:5(<module>)
        1    0.000    0.000    0.000    0.000 getlimits.py:3(<module>)
        1    0.000    0.000    0.000    0.000 copy.py:49(<module>)
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
      223    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:401(_check_name_wrapper)
      624    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
     2200    0.000    0.000    0.000    0.000 {method 'release' of '_thread.lock' objects}
        1    0.000    0.000    0.000    0.000 model.py:1(<module>)
      223    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
       30    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1319(__init__)
       15    0.000    0.000    0.000    0.000 arrayprint.py:1493(_guarded_repr_or_str)
        5    0.000    0.000    0.000    0.000 re.py:187(sub)
       49    0.000    0.000    0.000    0.000 sre_compile.py:411(_mk_bitmap)
      101    0.000    0.000    0.000    0.000 sre_parse.py:408(_uniq)
     1732    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      278    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:719(find_spec)
        1    0.000    0.000    0.000    0.000 stride_tricks.py:7(<module>)
       30    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       14    0.000    0.000    0.000    0.000 re.py:207(split)
      796    0.000    0.000    0.000    0.000 sre_parse.py:249(match)
        1    0.000    0.000    0.000    0.000 ast.py:26(<module>)
      274    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:792(find_spec)
      758    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
        1    0.000    0.000    0.000    0.000 histograms.py:3(<module>)
      620    0.000    0.000    0.000    0.000 _inspect.py:41(iscode)
        1    0.000    0.000    0.000    0.000 __init__.py:177(__exit__)
        1    0.000    0.000    0.000    0.000 __init__.py:157(stop)
       52    0.000    0.000    0.000    0.000 core.py:889(__init__)
      709    0.000    0.000    0.000    0.000 rq.py:204(calc_length)
        2    0.000    0.000    0.000    0.000 randr.py:1156(init)
